gamma,omega,M_m1,M_m2,M_m3,M_m4,Q
-500.0,60000.0,24521977.050447956,-63612796.589101814,-191439733.07380286,57290127.07969783,4.069575928925533e+16
-500.0,61000.0,24571791.437896304,-63620056.19257042,-193512586.4547047,58486655.99083832,4.149463266633538e+16
-500.0,62000.0,24621605.825344652,-63627315.79603902,-195585439.83560652,59683184.90197882,4.2302099591096536e+16
-500.0,63000.0,24671420.212793,-63634575.39950763,-197658293.21650836,60879713.81311931,4.311816006353882e+16
-500.0,64000.0,24721234.60024135,-63641835.00297623,-199731146.5974102,62076242.72425981,4.3942814083662216e+16
-500.0,65000.0,24771048.9876897,-63649094.606444836,-201803999.97831202,63272771.63540031,4.477606165146672e+16
-500.0,66000.0,24820863.375138048,-63656354.20991345,-203876853.35921383,64469300.5465408,4.5617902766952344e+16
-500.0,67000.0,24870677.762586396,-63663613.81338205,-205949706.74011567,65665829.4576813,4.6468337430119096e+16
-500.0,68000.0,24920492.150034744,-63670873.416850656,-208022560.1210175,66862358.368821785,4.732736564096695e+16
-500.0,69000.0,24970306.537483096,-63678133.02031926,-210095413.50191933,68058887.27996229,4.819498739949594e+16
-500.0,70000.0,25020120.924931444,-63685392.623787865,-212168266.88282117,69255416.19110277,4.907120270570605e+16
-500.0,71000.0,25069935.312379792,-63692652.22725647,-214241120.263723,70451945.10224327,4.9956011559597256e+16
-500.0,72000.0,25119749.69982814,-63699911.830725074,-216313973.64462483,71648474.01338376,5.08494139611696e+16
-500.0,73000.0,25169564.08727649,-63707171.43419368,-218386827.02552664,72845002.92452426,5.175140991042304e+16
-500.0,74000.0,25219378.47472484,-63714431.03766228,-220459680.4064285,74041531.83566476,5.266199940735762e+16
-500.0,75000.0,25269192.86217319,-63721690.64113089,-222532533.7873303,75238060.74680525,5.358118245197329e+16
-500.0,76000.0,25319007.249621537,-63728950.24459949,-224605387.16823214,76434589.65794575,5.4508959044270104e+16
-500.0,77000.0,25368821.637069885,-63736209.848068096,-226678240.54913396,77631118.56908624,5.544532918424802e+16
-500.0,78000.0,25418636.024518237,-63743469.4515367,-228751093.9300358,78827647.48022674,5.639029287190706e+16
-500.0,79000.0,25468450.411966585,-63750729.055005305,-230823947.3109376,80024176.39136723,5.73438501072472e+16
-500.0,80000.0,25518264.799414933,-63757988.65847392,-232896800.69183946,81220705.30250773,5.830600089026848e+16
-500.0,81000.0,25568079.18686328,-63765248.26194252,-234969654.07274127,82417234.21364821,5.9276745220970856e+16
-500.0,82000.0,25617893.57431163,-63772507.865411125,-237042507.4536431,83613763.12478872,6.025608309935437e+16
-500.0,83000.0,25667707.96175998,-63779767.46887973,-239115360.83454496,84810292.0359292,6.124401452541901e+16
-500.0,84000.0,25717522.34920833,-63787027.072348334,-241188214.21544677,86006820.9470697,6.224053949916474e+16
-500.0,85000.0,25767336.736656677,-63794286.67581694,-243261067.5963486,87203349.8582102,6.32456580205916e+16
-500.0,86000.0,25817151.12410503,-63801546.27928554,-245333920.97725043,88399878.7693507,6.4259370089699576e+16
-500.0,87000.0,25866965.511553377,-63808805.88275415,-247406774.35815227,89596407.6804912,6.528167570648867e+16
-500.0,88000.0,25916779.899001725,-63816065.48622275,-249479627.73905408,90792936.59163168,6.631257487095887e+16
-500.0,89000.0,25966594.286450073,-63823325.089691356,-251552481.11995593,91989465.50277218,6.735206758311021e+16
-500.0,90000.0,26016408.67389842,-63830584.69315996,-253625334.50085774,93185994.41391267,6.840015384294264e+16
-500.0,91000.0,26066223.06134677,-63837844.296628565,-255698187.88175958,94382523.32505317,6.9456833650456216e+16
-500.0,92000.0,26116037.44879512,-63845103.90009717,-257771041.2626614,95579052.23619366,7.052210700565089e+16
-500.0,93000.0,26165851.83624347,-63852363.50356577,-259843894.64356324,96775581.14733416,7.159597390852669e+16
-500.0,94000.0,26215666.223691817,-63859623.10703438,-261916748.02446505,97972110.05847465,7.26784343590836e+16
-500.0,95000.0,26265480.61114017,-63866882.71050299,-263989601.4053669,99168638.96961515,7.376948835732165e+16
-500.0,96000.0,26315294.998588517,-63874142.313971594,-266062454.78626874,100365167.88075565,7.48691359032408e+16
-500.0,97000.0,26365109.386036865,-63881401.9174402,-268135308.16717055,101561696.79189613,7.597737699684106e+16
-500.0,98000.0,26414923.773485214,-63888661.5209088,-270208161.5480724,102758225.70303664,7.709421163812243e+16
-500.0,99000.0,26464738.16093356,-63895921.12437741,-272281014.9289742,103954754.61417712,7.821963982708493e+16
-500.0,100000.0,26514552.54838191,-63903180.72784601,-274353868.3098761,105151283.52531762,7.935366156372858e+16
-495.0,-100000.0,16273440.749138718,-61737255.49431732,140216907.08119515,-134157246.78099096,2.1809655579826324e+16
-495.0,-99000.0,16323255.136587068,-61744515.09778593,138144053.7002933,-132960717.86985046,2.1490937641126684e+16
-495.0,-98000.0,16373069.524035417,-61751774.70125453,136071200.3193915,-131764188.95870996,2.117508317070112e+16
-495.0,-97000.0,16422883.911483765,-61759034.304723136,133998346.93848965,-130567660.04756945,2.086209216854963e+16
-495.0,-96000.0,16472698.298932113,-61766293.90819174,131925493.55758783,-129371131.13642898,2.0551964634672228e+16
-495.0,-95000.0,16522512.686380463,-61773553.511660345,129852640.17668599,-128174602.22528848,2.024470056906889e+16
-495.0,-94000.0,16572327.073828813,-61780813.11512896,127779786.79578415,-126978073.31414798,1.994029997173963e+16
-495.0,-93000.0,16622141.46127716,-61788072.71859756,125706933.41488233,-125781544.40300748,1.963876284268444e+16
-495.0,-92000.0,16671955.848725509,-61795332.322066166,123634080.03398049,-124585015.49186698,1.934008918190333e+16
-495.0,-91000.0,16721770.236173859,-61802591.92553477,121561226.65307868,-123388486.5807265,1.90442789893963e+16
-495.0,-90000.0,16771584.623622209,-61809851.529003374,119488373.27217683,-122191957.669586,1.875133226516334e+16
-495.0,-89000.0,16821399.011070557,-61817111.13247198,117415519.89127502,-120995428.7584455,1.8461249009204452e+16
-495.0,-88000.0,16871213.398518905,-61824370.73594058,115342666.51037318,-119798899.847305,1.817402922151964e+16
-495.0,-87000.0,16921027.785967253,-61831630.33940919,113269813.12947136,-118602370.93616453,1.788967290210891e+16
-495.0,-86000.0,16970842.1734156,-61838889.94287779,111196959.74856952,-117405842.02502403,1.760818005097225e+16
-495.0,-85000.0,17020656.560863953,-61846149.546346396,109124106.3676677,-116209313.11388353,1.7329550668109664e+16
-495.0,-84000.0,17070470.9483123,-61853409.149815,107051252.98676586,-115012784.20274302,1.7053784753521154e+16
-495.0,-83000.0,17120285.33576065,-61860668.753283605,104978399.60586405,-113816255.29160252,1.6780882307206718e+16
-495.0,-82000.0,17170099.723209,-61867928.35675221,102905546.2249622,-112619726.38046205,1.6510843329166364e+16
-495.0,-81000.0,17219914.11065735,-61875187.960220814,100832692.84406036,-111423197.46932155,1.6243667819400078e+16
-495.0,-80000.0,17269728.498105697,-61882447.56368942,98759839.46315855,-110226668.55818105,1.5979355777907868e+16
-495.0,-79000.0,17319542.885554045,-61889707.16715803,96686986.0822567,-109030139.64704055,1.5717907204689734e+16
-495.0,-78000.0,17369357.273002394,-61896966.770626634,94614132.70135489,-107833610.73590007,1.5459322099745682e+16
-495.0,-77000.0,17419171.660450745,-61904226.37409524,92541279.32045305,-106637081.82475957,1.5203600463075696e+16
-495.0,-76000.0,17468986.047899093,-61911485.97756384,90468425.93955123,-105440552.91361907,1.4950742294679788e+16
-495.0,-75000.0,17518800.43534744,-61918745.58103245,88395572.55864939,-104244024.00247857,1.4700747594557952e+16
-495.0,-74000.0,17568614.82279579,-61926005.18450105,86322719.17774758,-103047495.0913381,1.44536163627102e+16
-495.0,-73000.0,17618429.21024414,-61933264.78796966,84249865.79684573,-101850966.1801976,1.4209348599136516e+16
-495.0,-72000.0,17668243.59769249,-61940524.39143826,82177012.41594392,-100654437.2690571,1.3967944303836908e+16
-495.0,-71000.0,17718057.985140838,-61947783.994906865,80104159.03504208,-99457908.3579166,1.3729403476811376e+16
-495.0,-70000.0,17767872.372589186,-61955043.59837547,78031305.65414026,-98261379.44677609,1.3493726118059916e+16
-495.0,-69000.0,17817686.760037534,-61962303.201844074,75958452.27323842,-97064850.53563562,1.3260912227582538e+16
-495.0,-68000.0,17867501.147485886,-61969562.80531268,73885598.89233658,-95868321.62449512,1.303096180537923e+16
-495.0,-67000.0,17917315.534934234,-61976822.40878128,71812745.51143476,-94671792.71335462,1.2803874851449998e+16
-495.0,-66000.0,17967129.922382582,-61984082.01224989,69739892.13053292,-93475263.80221412,1.257965136579484e+16
-495.0,-65000.0,18016944.30983093,-61991341.6157185,67667038.7496311,-92278734.89107364,1.2358291348413764e+16
-495.0,-64000.0,18066758.697279282,-61998601.2191871,65594185.36872928,-91082205.97993314,1.2139794799306758e+16
-495.0,-63000.0,18116573.08472763,-62005860.82265571,63521331.98782745,-89885677.06879264,1.1924161718473824e+16
-495.0,-62000.0,18166387.472175978,-62013120.42612431,61448478.60692562,-88689148.15765214,1.1711392105914968e+16
-495.0,-61000.0,18216201.859624326,-62020380.02959292,59375625.22602378,-87492619.24651164,1.1501485961630188e+16
-495.0,-60000.0,18266016.247072674,-62027639.63306152,57302771.84512195,-86296090.33537117,1.1294443285619486e+16
-495.0,-59000.0,18315830.634521026,-62034899.236530125,55229918.46422012,-85099561.42423066,1.1090264077882854e+16
-495.0,-58000.0,18365645.021969374,-62042158.83999873,53157065.08331829,-83903032.51309016,1.0888948338420298e+16
-495.0,-57000.0,18415459.409417722,-62049418.443467334,51084211.702416465,-82706503.60194966,1.0690496067231816e+16
-495.0,-56000.0,18465273.79686607,-62056678.04693594,49011358.32151464,-81509974.69080918,1.0494907264317412e+16
-495.0,-55000.0,18515088.184314422,-62063937.65040454,46938504.94061281,-80313445.77966869,1.0302181929677084e+16
-495.0,-54000.0,18564902.57176277,-62071197.25387315,44865651.55971098,-79116916.86852819,1.011232006331083e+16
