gamma,omega,M_m1,M_m2,M_m3,M_m4,Q
-500.0,-80000.0,17547962.8076791,-62596452.103497125,98759740.25245327,-110223920.47997144,1.6067628461920478e+16
-500.0,-79000.0,17597777.19512745,-62603711.70696574,96686886.87155142,-109027391.56883094,1.5806196831792068e+16
-500.0,-78000.0,17647591.582575798,-62610971.31043434,94614033.49064961,-107830862.65769045,1.5547628669937732e+16
-500.0,-77000.0,17697405.97002415,-62618230.913902946,92541180.10974777,-106634333.74654995,1.5291923976357472e+16
-500.0,-76000.0,17747220.357472498,-62625490.51737155,90468326.72884595,-105437804.83540946,1.503908275105129e+16
-500.0,-75000.0,17797034.744920846,-62632750.120840155,88395473.34794411,-104241275.92426896,1.4789104994019178e+16
-500.0,-74000.0,17846849.132369194,-62640009.72430876,86322619.9670423,-103044747.01312847,1.4541990705261146e+16
-500.0,-73000.0,17896663.519817546,-62647269.32777736,84249766.58614045,-101848218.10198797,1.4297739884777184e+16
-500.0,-72000.0,17946477.907265894,-62654528.93124597,82176913.20523864,-100651689.19084747,1.40563525325673e+16
-500.0,-71000.0,17996292.294714242,-62661788.53471457,80104059.8243368,-99455160.27970698,1.3817828648631492e+16
-500.0,-70000.0,18046106.68216259,-62669048.13818318,78031206.44343498,-98258631.36856648,1.3582168232969758e+16
-500.0,-69000.0,18095921.06961094,-62676307.74165178,75958353.06253314,-97062102.457426,1.33493712855821e+16
-500.0,-68000.0,18145735.45705929,-62683567.345120385,73885499.6816313,-95865573.5462855,1.3119437806468516e+16
-500.0,-67000.0,18195549.84450764,-62690826.94858899,71812646.30072948,-94669044.63514501,1.289236779562901e+16
-500.0,-66000.0,18245364.231955986,-62698086.552057594,69739792.91982764,-93472515.7240045,1.2668161253063576e+16
-500.0,-65000.0,18295178.619404335,-62705346.155526206,67666939.53892583,-92275986.81286402,1.244681817877222e+16
-500.0,-64000.0,18344993.006852686,-62712605.75899481,65594086.158024,-91079457.90172352,1.2228338572754936e+16
-500.0,-63000.0,18394807.394301035,-62719865.362463415,63521232.77712217,-89882928.99058302,1.2012722435011728e+16
-500.0,-62000.0,18444621.781749383,-62727124.96593202,61448379.39622034,-88686400.07944253,1.1799969765542596e+16
-500.0,-61000.0,18494436.16919773,-62734384.56940062,59375526.0153185,-87489871.16830203,1.1590080564347538e+16
-500.0,-60000.0,18544250.55664608,-62741644.17286923,57302672.63441667,-86293342.25716154,1.1383054831426556e+16
-500.0,-59000.0,18594064.94409443,-62748903.77633783,55229819.25351484,-85096813.34602104,1.117889256677965e+16
-500.0,-58000.0,18643879.33154278,-62756163.37980644,53156965.87261301,-83900284.43488055,1.0977593770406818e+16
-500.0,-57000.0,18693693.718991127,-62763422.98327504,51084112.491711184,-82703755.52374005,1.077915844230806e+16
-500.0,-56000.0,18743508.106439475,-62770682.586743645,49011259.110809356,-81507226.61259957,1.058358658248338e+16
-500.0,-55000.0,18793322.493887827,-62777942.19021225,46938405.72990753,-80310697.70145907,1.0390878190932772e+16
-500.0,-54000.0,18843136.881336175,-62785201.793680854,44865552.3490057,-79114168.79031858,1.0201033267656244e+16
-500.0,-53000.0,18892951.268784523,-62792461.39714946,42792698.96810387,-77917639.87917808,1.0014051812653788e+16
-500.0,-52000.0,18942765.65623287,-62799721.00061806,40719845.58720204,-76721110.96803759,9829933825925408.0
-500.0,-51000.0,18992580.04368122,-62806980.60408667,38646992.206300214,-75524582.05689709,9648679307471100.0
-500.0,-50000.0,19042394.43112957,-62814240.20755528,36574138.825398386,-74328053.1457566,9470288257290872.0
