CODE,ORIG,FIRM_ID,YEAR,PRICE,QUANTITY,HP,LENGTH,WIDTH,SIZE,WEIGHT,FUEL,MPG,FUELPRICE,SEGMENT,steel_price,brand_id,model_id
21501,1,4,1995,24.78477,418,.0333551,170.8661,66.92913,1.143592,2698.238,1,49.89385,.51604,3,1,12,72
21502,1,4,1995,20.80295,2338,.0319219,157.874,68.89764,1.087715,2819.383,1,47.04292,.51604,2,1,12,73
21504,1,4,1995,36.54266,3,.0379098,184.252,71.65354,1.320231,3270.925,1,39.86688,.51604,4,1,12,94
21702,1,11,1995,36.94389,2,.0308071,176.378,67.71654,1.194371,3083.7,1,44.38011,.51604,3,1,14,55
21703,1,11,1995,36.88651,1,.0334248,187.4095,69.29921,1.298733,3163.216,1,44.90113,.51604,4,1,14,75
21704,1,11,1995,55.47107,1,.0407202,187.626,69.51575,1.304296,3339.868,1,43.58085,.51604,4,1,14,76
21903,2,13,1995,22.485,1037,.0286134,173.2283,66.92913,1.159402,2621.145,1,54.70107,.51604,3,1,16,127
21904,2,13,1995,23.45501,1097,.0308145,162.9921,65.74803,1.071641,2433.921,1,52.26991,.51604,2,1,16,158
21906,2,13,1995,14.08357,26541,.0294805,162.2047,66.53543,1.079236,2544.053,1,50.04566,.51604,2,1,16,41
22001,1,6,1995,18.61168,6167,.0338868,159.4488,66.53543,1.0609,2419.824,1,51.13361,.51604,2,1,17,45
22003,1,6,1995,15.8568,15524,.0248087,146.4567,62.99213,.9225619,2015.418,1,58.80365,.51604,1,1,17,68
22004,1,6,1995,32.90325,14,.037955,188.189,70.07874,1.318805,3425.11,1,42.00261,.51604,4,1,17,117
22005,1,6,1995,23.59192,680,.0307695,172.1378,66.92913,1.152103,2664.978,1,49.38578,.51604,3,1,17,172
22101,1,14,1995,11.68146,65701,.0313476,140.1575,61.81102,.8663278,1850.22,1,63.57151,.51604,1,1,18,2
22102,1,14,1995,21.41259,2332,.0309545,145.6693,61.41732,.8946618,1938.326,1,60.31143,.51604,1,1,18,6
22103,1,14,1995,18.87006,5043,.0298463,157.0866,66.53543,1.045182,2378.855,1,51.13361,.51604,2,1,18,11
22104,1,14,1995,45.71817,1,.03632,173.622,66.53543,1.155202,2533.04,1,46.12051,.51604,3,1,18,13
22105,1,14,1995,35.62626,4,.0334047,187.4016,70.86614,1.328043,3292.952,1,48.00298,.51604,4,1,18,16
22106,1,14,1995,30.88735,27,.0254683,175.1969,72.04724,1.262245,3612.335,1,38.55977,.51604,5,1,18,21
22107,1,14,1995,5.413419,289066,.0312869,179.1339,69.29134,1.241243,2940.529,1,47.04292,.51604,3,1,18,14
22402,1,15,1995,18.55811,5826,.0286505,163.7795,66.92913,1.096162,2268.722,1,51.13361,.51604,2,1,19,3
22403,1,15,1995,13.7006,6705,.0281299,180.311,68.11024,1.228103,2524.009,1,48.43394,.51604,3,1,19,8
22404,1,15,1995,15.69649,19425,.0320761,146.063,63.77953,.9315828,2026.432,1,57.36941,.51604,1,1,19,63
22405,1,15,1995,31.49187,22,.0295941,174.0157,70.47244,1.226331,2973.568,1,42.00261,.51604,5,1,19,79
22406,1,15,1995,44.7121,1,.0289064,177.1654,68.89764,1.220627,2940.529,1,48.00298,.51604,3,1,19,96
22407,1,15,1995,34.4568,7,.033361,186.2205,71.25984,1.327004,3447.136,1,42.76629,.51604,4,1,19,138
22502,1,16,1995,15.71846,17135,.0287822,138.5827,61.41732,.8511377,1950.859,1,58.50818,.51604,1,1,3,144
22503,1,16,1995,21.54254,1692,.034147,166.1417,66.14173,1.09889,2577.093,1,54.63372,.51604,2,1,3,145
22506,1,16,1995,21.07483,1075,.034147,171.6535,66.14173,1.135346,2577.093,1,54.56402,.51604,3,1,3,147
22507,1,16,1995,29.48984,54,.0344188,182.6772,67.32284,1.229835,3050.661,1,58.80365,.51604,3,1,3,149
22508,1,16,1995,35.15739,2,.0374892,192.126,68.11024,1.308575,3147.577,1,48.00298,.51604,4,1,3,151
22701,1,19,1995,17.29468,9885,.031502,150,64.56693,.968504,2158.59,1,53.45786,.51604,1,1,21,92
22703,1,19,1995,22.64287,1046,.0330583,170.0787,65.35433,1.111538,2268.722,1,51.13361,.51604,3,1,21,166
22704,1,19,1995,18.48341,5735,.0280425,161.4173,64.56693,1.042222,2424.89,1,52.26991,.51604,2,1,21,66
23102,2,18,1995,24.76783,371,.0265136,178.3465,67.32284,1.200679,2753.304,1,54.3522,.51604,3,1,24,57
23201,1,19,1995,22.18233,1198,.0317218,158.2677,66.92913,1.059272,2489.647,1,53.41537,.51604,2,1,25,89
23202,1,19,1995,27.67504,164,.0323004,181.1024,67.71654,1.226362,2786.344,1,57.36941,.51604,3,1,25,121
23204,1,19,1995,19.02753,3307,.0261766,172.4409,66.92913,1.154132,2444.934,1,48.00298,.51604,3,1,25,173
23302,1,5,1995,27.93674,100,.0337686,169.685,65.74803,1.115646,2665.198,1,53.45786,.51604,2,1,26,147
23303,1,5,1995,35.2447,5,.0369253,191.7323,68.89764,1.32099,3303.965,1,42.00261,.51604,4,1,26,151
10103,1,4,1996,15.84231,17295,.0410193,161.0236,67.32284,1.084057,2511.013,0,38.55977,.7653,2,1.012,1,34
