id,year,Y,Y2,L,K,M,industry,country
90315,1995,54843.05078125,23318.25195313,105.90775,4810.591796875,31524.79882813,"metal","chile"
90315,1996,56234.7109375,21955.53125,101.35812,5245.795410156,34279.1796875,"metal","chile"
90342,1987,5295.489257813,1026.05078125,10.728163,574.0134887695,4269.438476563,"metal","chile"
90342,1988,6058.708007813,2106.958251953,13.050846,705.0674438477,3951.749511719,"metal","chile"
90342,1989,12750.97070313,9374.154296875,21.048429,829.9235229492,3376.816162109,"metal","chile"
90342,1990,5766.651367188,4353.089355469,52.57737,965.313293457,1413.561523438,"metal","chile"
90342,1992,13366.09082031,13032.34472656,65.850655,1497.057861328,333.745880127,"metal","chile"
90342,1993,20457.3515625,7429.51953125,70.369614,1527.207519531,13027.83203125,"metal","chile"
90342,1994,13234.55761719,8906.740234375,77.650993,1693.783203125,4327.817382813,"metal","chile"
90342,1995,9748.8984375,8029.225097656,62.961208,1975.712280273,1719.673828125,"metal","chile"
90342,1996,11552.71679688,10008.984375,106.54826,2754.013427734,1543.732666016,"metal","chile"
90351,1979,66309.859375,31919.66601563,88.142929,4644.891113281,34390.19921875,"metal","chile"
90351,1980,60230.23046875,32328.93164063,128.00154,22361.9375,27901.29882813,"metal","chile"
90351,1981,53637.0234375,14099.07519531,147.23351,44049.7578125,39537.94921875,"metal","chile"
90351,1982,37058.2890625,19110.18554688,163.2168,47464.4921875,17948.10351563,"metal","chile"
90351,1983,40949.78125,12542.02832031,160.36156,43693.1953125,28407.75195313,"metal","chile"
90351,1984,246143.21875,108880.484375,184.56165,44635.20703125,137262.75,"metal","chile"
90351,1985,32591.765625,833.0963745117,186.8826,44741.3359375,31758.66992188,"metal","chile"
90351,1986,87272.078125,30724.75585938,325.71341,47171.78515625,56547.328125,"metal","chile"
90351,1987,91506.2578125,35028.41796875,306.0047,51525.64453125,56477.83984375,"metal","chile"
90351,1989,149105.421875,50365.63671875,407.23419,49168.50390625,98739.7890625,"metal","chile"
90351,1990,174765.125,67640.21875,437.55914,54555.9921875,107124.90625,"metal","chile"
90351,1991,122693.6484375,23482.01953125,459.29742,58698.82421875,99211.6328125,"metal","chile"
90351,1992,186921.40625,87522.4765625,400.80777,58868,99398.9296875,"metal","chile"
90351,1994,118353.75,48926.94140625,304.7695,176246.78125,69426.8125,"metal","chile"
90351,1995,168048.71875,44539.8359375,277.42361,203249.359375,123508.8828125,"metal","chile"
90351,1996,132474.03125,76233.3984375,146.5584,195528.640625,56240.63671875,"metal","chile"
90522,1981,37841.0234375,18999.16796875,48.542358,3239.697265625,18841.85546875,"metal","chile"
90522,1989,17794.453125,8906.381835938,38.539627,1405.612060547,8888.071289063,"metal","chile"
90522,1990,23247.34570313,10359.8984375,48.443733,1271.074951172,12887.44726563,"metal","chile"
90522,1991,19438.0625,9024.307617188,49.373215,1149.607666016,10413.75488281,"metal","chile"
